标的ID,标的名称,投资记录ID,回款ID,投资金额,回款本金,回款利息,回款时间,是否已回
678745579620862422,ZMGD-10PH1040,20161104003940974,20161104030909674,9900000,771598,113643,2016-11-21 00:00:00,已还
678745579620862422,ZMGD-10PH1040,20161104003940974,20161104030909774,9900000,780922,104785,2016-12-21 00:00:00,已还
678745579620862422,ZMGD-10PH1040,20161104003940974,20161104030909874,9900000,790358,95821,2017-01-21 00:00:00,已还
678745579620862422,ZMGD-10PH1040,20161104003940974,20161104030909974,9900000,799908,86749,2017-02-21 00:00:00,已还
678745579620862422,ZMGD-10PH1040,20161104003940974,20161104030910074,9900000,809574,77566,2017-03-21 00:00:00,未还
678745579620862422,ZMGD-10PH1040,20161104003940974,20161104030910174,9900000,819356,68273,2017-04-21 00:00:00,未还
678745579620862422,ZMGD-10PH1040,20161104003940974,20161104030910274,9900000,829257,58867,2017-05-21 00:00:00,未还
678745579620862422,ZMGD-10PH1040,20161104003940974,20161104030910374,9900000,839277,49348,2017-06-21 00:00:00,未还
678745579620862422,ZMGD-10PH1040,20161104003940974,20161104030910474,9900000,849418,39714,2017-07-21 00:00:00,未还
678745579620862422,ZMGD-10PH1040,20161104003940974,20161104030910574,9900000,859682,29963,2017-08-21 00:00:00,未还
678745579620862422,ZMGD-10PH1040,20161104003940974,20161104030910674,9900000,870070,20095,2017-09-21 00:00:00,未还
678745579620862422,ZMGD-10PH1040,20161104003940974,20161104030910774,9900000,880583,10108,2017-10-21 00:00:00,未还
628199629063168074,ZMGX-10ZX1009,20161104003992674,20161104031154574,525200,43766,4989,2016-11-22 00:00:00,已还
628199629063168074,ZMGX-10ZX1009,20161104003992674,20161104031154674,525200,43766,4989,2016-12-22 00:00:00,已还
628199629063168074,ZMGX-10ZX1009,20161104003992674,20161104031154774,525200,43766,4989,2017-01-22 00:00:00,已还
628199629063168074,ZMGX-10ZX1009,20161104003992674,20161104031154874,525200,43766,4989,2017-02-22 00:00:00,已还
628199629063168074,ZMGX-10ZX1009,20161104003992674,20161104031154974,525200,43766,4989,2017-03-22 00:00:00,未还
628199629063168074,ZMGX-10ZX1009,20161104003992674,20161104031155074,525200,43766,4989,2017-04-22 00:00:00,未还
628199629063168074,ZMGX-10ZX1009,20161104003992674,20161104031155174,525200,43766,4989,2017-05-22 00:00:00,未还
628199629063168074,ZMGX-10ZX1009,20161104003992674,20161104031155274,525200,43766,4989,2017-06-22 00:00:00,未还
628199629063168074,ZMGX-10ZX1009,20161104003992674,20161104031155374,525200,43766,4989,2017-07-22 00:00:00,未还
628199629063168074,ZMGX-10ZX1009,20161104003992674,20161104031155474,525200,43766,4989,2017-08-22 00:00:00,未还
628199629063168074,ZMGX-10ZX1009,20161104003992674,20161104031155574,525200,43766,4989,2017-09-22 00:00:00,未还
628199629063168074,ZMGX-10ZX1009,20161104003992674,20161104031155674,525200,43766,4989,2017-10-22 00:00:00,未还
628199629063168074,ZMGX-10ZX1009,20161104003992774,20161104031155774,100000,8333,950,2016-11-22 00:00:00,已还
628199629063168074,ZMGX-10ZX1009,20161104003992774,20161104031155874,100000,8333,950,2016-12-22 00:00:00,已还
628199629063168074,ZMGX-10ZX1009,20161104003992774,20161104031155974,100000,8333,950,2017-01-22 00:00:00,已还
628199629063168074,ZMGX-10ZX1009,20161104003992774,20161104031156074,100000,8333,950,2017-02-22 00:00:00,已还
