标的ID,标的名称,是否定期理财,是否理财计划,投资记录ID,投资总金额,投资时间,第几期回款,预计本金,预计利息,预计加息,预计时间,是否已经回款
425321082962729645,ZMGX-09ZX1013,是,否,20161104003871803,19700,2016-09-29 18:31:12,5,1641,187,0,2017-03-01 00:00:00,未回款
425321082962729645,ZMGX-09ZX1013,是,否,20161104003871803,19700,2016-09-29 18:31:12,6,1641,187,0,2017-04-01 00:00:00,未回款
425321082962729645,ZMGX-09ZX1013,是,否,20161104003871803,19700,2016-09-29 18:31:12,7,1641,187,0,2017-05-01 00:00:00,未回款
425321082962729645,ZMGX-09ZX1013,是,否,20161104003871803,19700,2016-09-29 18:31:12,8,1641,187,0,2017-06-01 00:00:00,未回款
425321082962729645,ZMGX-09ZX1013,是,否,20161104003871803,19700,2016-09-29 18:31:12,9,1641,187,0,2017-07-01 00:00:00,未回款
425321082962729645,ZMGX-09ZX1013,是,否,20161104003871803,19700,2016-09-29 18:31:12,10,1641,187,0,2017-08-01 00:00:00,未回款
425321082962729645,ZMGX-09ZX1013,是,否,20161104003871803,19700,2016-09-29 18:31:12,11,1641,187,0,2017-09-01 00:00:00,未回款
425321082962729645,ZMGX-09ZX1013,是,否,20161104003871803,19700,2016-09-29 18:31:12,12,1641,187,0,2017-10-01 00:00:00,未回款
122947276812172019,ZMGX-10ZX1017,是,否,20161104003923203,120000,2016-10-31 18:26:03,4,10000,1140,0,2017-03-03 00:00:00,未回款
122947276812172019,ZMGX-10ZX1017,是,否,20161104003923203,120000,2016-10-31 18:26:03,5,10000,1140,0,2017-04-03 00:00:00,未回款
122947276812172019,ZMGX-10ZX1017,是,否,20161104003923203,120000,2016-10-31 18:26:03,6,10000,1140,0,2017-05-03 00:00:00,未回款
122947276812172019,ZMGX-10ZX1017,是,否,20161104003923203,120000,2016-10-31 18:26:03,7,10000,1140,0,2017-06-03 00:00:00,未回款
122947276812172019,ZMGX-10ZX1017,是,否,20161104003923203,120000,2016-10-31 18:26:03,8,10000,1140,0,2017-07-03 00:00:00,未回款
122947276812172019,ZMGX-10ZX1017,是,否,20161104003923203,120000,2016-10-31 18:26:03,9,10000,1140,0,2017-08-03 00:00:00,未回款
122947276812172019,ZMGX-10ZX1017,是,否,20161104003923203,120000,2016-10-31 18:26:03,10,10000,1140,0,2017-09-03 00:00:00,未回款
122947276812172019,ZMGX-10ZX1017,是,否,20161104003923203,120000,2016-10-31 18:26:03,11,10000,1140,0,2017-10-03 00:00:00,未回款
122947276812172019,ZMGX-10ZX1017,是,否,20161104003923203,120000,2016-10-31 18:26:03,12,10000,1140,0,2017-11-03 00:00:00,未回款
122947276812172019,ZMGX-10ZX1017,是,否,20161104003924303,11900,2016-11-01 17:37:52,4,991,113,0,2017-03-03 00:00:00,未回款
122947276812172019,ZMGX-10ZX1017,是,否,20161104003924303,11900,2016-11-01 17:37:52,5,991,113,0,2017-04-03 00:00:00,未回款
122947276812172019,ZMGX-10ZX1017,是,否,20161104003924303,11900,2016-11-01 17:37:52,6,991,113,0,2017-05-03 00:00:00,未回款
122947276812172019,ZMGX-10ZX1017,是,否,20161104003924303,11900,2016-11-01 17:37:52,7,991,113,0,2017-06-03 00:00:00,未回款
122947276812172019,ZMGX-10ZX1017,是,否,20161104003924303,11900,2016-11-01 17:37:52,8,991,113,0,2017-07-03 00:00:00,未回款
122947276812172019,ZMGX-10ZX1017,是,否,20161104003924303,11900,2016-11-01 17:37:52,9,991,113,0,2017-08-03 00:00:00,未回款
122947276812172019,ZMGX-10ZX1017,是,否,20161104003924303,11900,2016-11-01 17:37:52,10,991,113,0,2017-09-03 00:00:00,未回款
122947276812172019,ZMGX-10ZX1017,是,否,20161104003924303,11900,2016-11-01 17:37:52,11,991,113,0,2017-10-03 00:00:00,未回款
122947276812172019,ZMGX-10ZX1017,是,否,20161104003924303,11900,2016-11-01 17:37:52,12,991,113,0,2017-11-03 00:00:00,未回款
58027909241754848,ZMGX-10ZX1001,是,否,20161104003929103,19900,2016-10-11 01:27:06,4,1658,189,0,2017-02-12 00:00:00,未回款
58027909241754848,ZMGX-10ZX1001,是,否,20161104003929103,19900,2016-10-11 01:27:06,5,1658,189,0,2017-03-12 00:00:00,未回款
58027909241754848,ZMGX-10ZX1001,是,否,20161104003929103,19900,2016-10-11 01:27:06,6,1658,189,0,2017-04-12 00:00:00,未回款
58027909241754848,ZMGX-10ZX1001,是,否,20161104003929103,19900,2016-10-11 01:27:06,7,1658,189,0,2017-05-12 00:00:00,未回款
58027909241754848,ZMGX-10ZX1001,是,否,20161104003929103,19900,2016-10-11 01:27:06,8,1658,189,0,2017-06-12 00:00:00,未回款
58027909241754848,ZMGX-10ZX1001,是,否,20161104003929103,19900,2016-10-11 01:27:06,9,1658,189,0,2017-07-12 00:00:00,未回款
58027909241754848,ZMGX-10ZX1001,是,否,20161104003929103,19900,2016-10-11 01:27:06,10,1658,189,0,2017-08-12 00:00:00,未回款
58027909241754848,ZMGX-10ZX1001,是,否,20161104003929103,19900,2016-10-11 01:27:06,11,1658,189,0,2017-09-12 00:00:00,未回款
58027909241754848,ZMGX-10ZX1001,是,否,20161104003929103,19900,2016-10-11 01:27:06,12,1658,189,0,2017-10-12 00:00:00,未回款
309871677592153692,ZMGX-10ZX1018,是,否,20161104004506903,120000,2016-11-02 12:25:25,4,10000,1140,0,2017-03-03 00:00:00,未回款
309871677592153692,ZMGX-10ZX1018,是,否,20161104004506903,120000,2016-11-02 12:25:25,5,10000,1140,0,2017-04-03 00:00:00,未回款
